{\rtf1\ansi\ansicpg1252\cocoartf2512
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 Gm#,Date,Tm,,Opp,W/L,R,RA,W-L,Rank,GB,Time,D/N,Attendance\
1,Sunday Apr 2,CHC,@,STL,L-wo,3,4,0-1,5,1.0,3:33,N,47566\
2,Tuesday Apr 4,CHC,@,STL,W,2,1,1-1,1,Tied,2:57,N,46760\
3,Thursday Apr 6,CHC,@,STL,W,6,4,2-1,1,Tied,3:18,D,44039\
4,Friday Apr 7,CHC,@,MIL,L-wo,1,2,2-2,2,1.0,3:58,N,28728\
5,Saturday Apr 8,CHC,@,MIL,W,11,6,3-2,1,Tied,3:28,N,43080\
6,Sunday Apr 9,CHC,@,MIL,W,7,4,4-2,1,Tied,3:00,D,38483\
7,Monday Apr 10,CHC,,LAD,W-wo,3,2,5-2,1,Tied,3:37,N,41166\
8,Wednesday Apr 12,CHC,,LAD,L,0,2,5-3,2,1.5,3:20,N,40844\
9,Thursday Apr 13,CHC,,LAD,W,4,0,6-3,2,0.5,3:01,D,38379\
10,Friday Apr 14,CHC,,PIT,L,2,4,6-4,2,0.5,3:15,D,40430\
11,Saturday Apr 15,CHC,,PIT,L,7,8,6-5,2,1.5,3:25,D,41814\
12,Sunday Apr 16,CHC,,PIT,L,1,6,6-6,3,1.5,3:02,D,39422\
13,Monday Apr 17,CHC,,MIL,L,3,6,6-7,3,2.0,3:00,N,38636\
14,Tuesday Apr 18,CHC,,MIL,W,9,7,7-7,3,2.0,3:00,N,39026\
15,Wednesday Apr 19,CHC,,MIL,W-wo,7,4,8-7,2,1.0,3:30,D,34864\
16,Friday Apr 21,CHC,@,CIN,W,6,5,9-7,1,up 0.5,3:57,N,29350\
17,Saturday Apr 22,CHC,@,CIN,W,12,8,10-7,1,up 1.5,3:24,D,27189\
18,Sunday Apr 23,CHC,@,CIN,L,5,7,10-8,1,up 0.5,2:26,D,32670\
19,Monday Apr 24,CHC,@,PIT,W,14,3,11-8,1,up 1.5,3:22,N,13445\
20,Tuesday Apr 25,CHC,@,PIT,W,1,0,12-8,1,up 2.0,2:44,N,15326\
21,Wednesday Apr 26,CHC,@,PIT,L,5,6,12-9,1,up 1.0,3:22,N,16904\
22,Friday Apr 28,CHC,@,BOS,L,4,5,12-10,1,up 0.5,3:28,N,37054\
23,Saturday Apr 29,CHC,@,BOS,W,7,4,13-10,1,up 1.0,3:00,D,36776\
24,Sunday Apr 30,CHC,@,BOS,L,2,6,13-11,1,up 1.0,3:28,N,36916\
25,Monday May 1,CHC,,PHI,L,2,10,13-12,1,Tied,3:06,N,38567\
26,Tuesday May 2,CHC,,PHI,W,8,3,14-12,1,up 1.0,3:24,N,38660\
27,Wednesday May 3,CHC,,PHI,W,5,4,15-12,1,up 1.5,3:09,N,39335\
28,Thursday May 4,CHC,,PHI,W-wo,5,4,16-12,1,up 1.5,4:22,D,36394\
29,Friday May 5,CHC,,NYY,L,2,3,16-13,1,up 1.0,3:17,D,40395\
30,Saturday May 6,CHC,,NYY,L,6,11,16-14,1,Tied,3:19,N,40735\
31,Sunday May 7,CHC,,NYY,L,4,5,16-15,3,1.0,6:05,N,40584\
32,Tuesday May 9 (1),CHC,@,COL,L,4,10,16-16,3,1.5,3:01,D,34779\
33,Tuesday May 9 (2),CHC,@,COL,W,8,1,17-16,3,1.5,3:01,N,36563\
34,Wednesday May 10,CHC,@,COL,L,0,3,17-17,4,2.5,2:14,D,35213\
35,Friday May 12,CHC,@,STL,W,3,2,18-17,4,1.5,3:01,N,47601\
36,Saturday May 13,CHC,@,STL,L,3,5,18-18,4,2.5,2:51,D,47882\
37,Sunday May 14,CHC,@,STL,L,0,5,18-19,4,3.5,2:38,D,47925\
38,Tuesday May 16,CHC,,CIN,W,9,5,19-19,3,2.5,3:07,N,40653\
39,Wednesday May 17,CHC,,CIN,W,7,5,20-19,3,2.0,3:06,N,38715\
40,Thursday May 18,CHC,,CIN,W,9,5,21-19,3,2.0,3:03,D,36023\
41,Friday May 19,CHC,,MIL,L,3,6,21-20,3,3.0,3:27,D,36923\
42,Sunday May 21,CHC,,MIL,W,13,6,22-20,3,2.0,3:32,D,41671\
43,Monday May 22,CHC,,SFG,L,4,6,22-21,3,2.5,2:59,N,36204\
44,Tuesday May 23,CHC,,SFG,W,4,1,23-21,2,1.5,2:05,N,32905\
