Gm#,Date,Season,Tm,,Opp,W/L,R,RA,W-L,Rank,GB,Time,D/N,Attendance
45,Sunday May 21,2017,ARI,@,SDP,L,1,5,26-19,2,2,2:16,D,27198
46,Monday May 22,2017,ARI,,CHW,W,5,1,27-19,2,2,2:39,N,18333
47,Tuesday May 23,2017,ARI,,CHW,W,5,4,28-19,2,2,2:56,N,17865
48,Wednesday May 24,2017,ARI,,CHW,W,8,6,29-19,2,2,3:02,D,18002
49,Thursday May 25,2017,ARI,@,MIL,W,4,0,30-19,2,1,2:45,N,30081
50,Friday May 26,2017,ARI,@,MIL,W,4,2,31-19,2,1,3:24,N,25391
51,Saturday May 27,2017,ARI,@,MIL,L,1,6,31-20,2,1,2:52,D,29746
52,Sunday May 28,2017,ARI,@,MIL,L,5,9,31-21,3,2,3:08,D,41698
53,Monday May 29,2017,ARI,@,PIT,L-wo,3,4,31-22,3,2,3:02,D,16939
54,Tuesday May 30,2017,ARI,@,PIT,W,3,0,32-22,3,1.5,2:10,N,14996
55,Wednesday May 31,2017,ARI,@,PIT,W,6,5,33-22,2,0.5,4:40,D,20990
56,Thursday Jun 1,2017,ARI,@,MIA,W,3,2,34-22,1,Tied,3:00,N,16433
57,Friday Jun 2,2017,ARI,@,MIA,L,5,7,34-23,2,0.5,3:00,N,17413
58,Saturday Jun 3,2017,ARI,@,MIA,L,0,3,34-24,3,1.5,2:31,D,21548
59,Sunday Jun 4,2017,ARI,@,MIA,L,5,6,34-25,3,2,3:32,D,20387
60,Tuesday Jun 6,2017,ARI,,SDP,W,10,2,35-25,2,2,2:52,N,25883
61,Wednesday Jun 7,2017,ARI,,SDP,W,7,4,36-25,2,2,3:48,N,22079
62,Thursday Jun 8,2017,ARI,,SDP,W,15,3,37-25,2,2,2:59,D,21340
63,Friday Jun 9,2017,ARI,,MIL,L,6,8,37-26,3,3,3:38,N,25009
64,Saturday Jun 10,2017,ARI,,MIL,W,3,2,38-26,3,3,2:43,N,40195
65,Sunday Jun 11,2017,ARI,,MIL,W,11,1,39-26,3,2,3:26,D,30370
66,Tuesday Jun 13,2017,ARI,@,DET,W,7,6,40-26,3,0.5,3:48,N,25119
67,Wednesday Jun 14,2017,ARI,@,DET,W,2,1,41-26,3,0.5,2:45,N,26134
68,Friday Jun 16,2017,ARI,@,PHI,W,5,4,42-26,2,1,3:12,N,18140
69,Saturday Jun 17,2017,ARI,@,PHI,W,5,1,43-26,2,1,3:25,D,21108
70,Sunday Jun 18,2017,ARI,@,PHI,W,5,4,44-26,2,1,4:12,D,31131
71,Tuesday Jun 20,2017,ARI,@,COL,L,3,4,44-27,3,2,2:45,N,35016
72,Wednesday Jun 21,2017,ARI,@,COL,W,16,5,45-27,3,1.5,3:28,N,40918
73,Thursday Jun 22,2017,ARI,@,COL,W,10,3,46-27,2,1.5,3:06,D,40681
74,Friday Jun 23,2017,ARI,,PHI,L,1,6,46-28,2,2.5,2:54,N,31648
75,Saturday Jun 24,2017,ARI,,PHI,W,9,2,47-28,2,2.5,3:05,N,40557
76,Sunday Jun 25,2017,ARI,,PHI,W-wo,2,1,48-28,2,2.5,3:50,D,28179
77,Monday Jun 26,2017,ARI,,PHI,W,6,1,49-28,2,1.5,3:11,D,20765
78,Tuesday Jun 27,2017,ARI,,STL,W-wo,6,5,50-28,2,1.5,3:22,N,24256
79,Wednesday Jun 28,2017,ARI,,STL,L,3,4,50-29,2,1.5,3:18,N,23188
80,Thursday Jun 29,2017,ARI,,STL,L,4,10,50-30,2,2.5,3:18,D,27603
81,Friday Jun 30,2017,ARI,,COL,L,3,6,50-31,2,3.5,3:31,N,23275
82,Saturday Jul 1,2017,ARI,,COL,W,6,2,51-31,2,3.5,2:38,N,46338
83,Sunday Jul 2,2017,ARI,,COL,W-wo,4,3,52-31,2,2.5,3:04,D,34556
84,Tuesday Jul 4,2017,ARI,@,LAD,L,3,4,52-32,2,3.5,3:26,N,53159
85,Wednesday Jul 5,2017,ARI,@,LAD,L,0,1,52-33,2,4.5,2:56,N,40997
86,Thursday Jul 6,2017,ARI,@,LAD,L-wo,4,5,52-34,2,5.5,3:07,N,41999
87,Friday Jul 7,2017,ARI,,CIN,W,6,3,53-34,2,5.5,2:57,N,27006
88,Saturday Jul 8,2017,ARI,,CIN,L,0,7,53-35,2,6.5,3:00,N,29806
89,Sunday Jul 9,2017,ARI,,CIN,L,1,2,53-36,2,7.5,2:53,D,24923
90,Friday Jul 14,2017,ARI,@,ATL,L,3,4,53-37,2,8.5,3:02,N,38852
91,Saturday Jul 15,2017,ARI,@,ATL,L,5,8,53-38,2,9.5,3:28,N,41627
92,Sunday Jul 16,2017,ARI,@,ATL,L,1,7,53-39,2,10.5,2:47,D,36637
93,Tuesday Jul 18,2017,ARI,@,CIN,W,11,2,54-39,2,10.5,3:05,N,19989
94,Wednesday Jul 19,2017,ARI,@,CIN,L-wo,3,4,54-40,3,11.5,3:59,N,16573
95,Thursday Jul 20,2017,ARI,@,CIN,W,12,2,55-40,2,10.5,2:47,D,19711
96,Friday Jul 21,2017,ARI,,WSN,W-wo,6,5,56-40,2,9.5,3:23,N,37858
97,Saturday Jul 22,2017,ARI,,WSN,L,3,4,56-41,2,10.5,2:56,N,39176
98,Sunday Jul 23,2017,ARI,,WSN,L,2,6,56-42,3,11.5,3:39,D,32720
99,Monday Jul 24,2017,ARI,,ATL,W,10,2,57-42,2,11.5,3:00,N,20862
100,Tuesday Jul 25,2017,ARI,,ATL,L,3,8,57-43,2,12.5,3:10,N,25069
101,Wednesday Jul 26,2017,ARI,,ATL,W,10,3,58-43,2,12.5,3:17,D,25836
102,Thursday Jul 27,2017,ARI,@,STL,W,4,0,59-43,2,12,2:47,N,39208
103,Friday Jul 28,2017,ARI,@,STL,L,0,1,59-44,2,13,3:10,N,41230
104,Saturday Jul 29,2017,ARI,@,STL,W,7,1,60-44,2,13,3:12,N,48052
105,Sunday Jul 30,2017,ARI,@,STL,L,2,3,60-45,2,14,3:06,D,40827
106,Tuesday Aug 1,2017,ARI,@,CHC,L,4,16,60-46,3,15,3:27,N,40709
107,Wednesday Aug 2,2017,ARI,@,CHC,W,3,0,61-46,2,14,2:44,N,41321
108,Thursday Aug 3,2017,ARI,@,CHC,W,10,8,62-46,2,14,3:59,D,39525
109,Friday Aug 4,2017,ARI,@,SFG,W,2,1,63-46,2,14,2:39,N,38967
110,Saturday Aug 5,2017,ARI,@,SFG,L-wo,4,5,63-47,3,15,3:38,N,39532
111,Sunday Aug 6,2017,ARI,@,SFG,L,3,6,63-48,3,16,3:03,D,40107
112,Tuesday Aug 8,2017,ARI,,LAD,W,6,3,64-48,2,15,2:59,N,24810
113,Wednesday Aug 9,2017,ARI,,LAD,L,2,3,64-49,3,16,2:48,N,22670
114,Thursday Aug 10,2017,ARI,,LAD,L,6,8,64-50,3,17,3:37,N,31396
115,Friday Aug 11,2017,ARI,,CHC,L,3,8,64-51,3,17,3:23,N,39131
116,Saturday Aug 12,2017,ARI,,CHC,W,6,2,65-51,2,17,3:05,N,42219
117,Sunday Aug 13,2017,ARI,,CHC,L,2,7,65-52,2,18,3:12,D,41760
118,Monday Aug 14,2017,ARI,,HOU,W,2,0,66-52,2,17.5,2:48,N,20405
119,Tuesday Aug 15,2017,ARI,,HOU,L,4,9,66-53,2,18.5,3:07,D,16935
120,Wednesday Aug 16,2017,ARI,@,HOU,L,5,9,66-54,3,19.5,3:17,N,27278
121,Thursday Aug 17,2017,ARI,@,HOU,W,4,0,67-54,2,19,2:48,D,27949
122,Friday Aug 18,2017,ARI,@,MIN,L,3,10,67-55,3,20,3:06,N,25830
123,Saturday Aug 19,2017,ARI,@,MIN,L,0,5,67-56,3,21,2:54,N,29456
124,Sunday Aug 20,2017,ARI,@,MIN,L,5,12,67-57,3,21,3:06,D,27367
125,Monday Aug 21,2017,ARI,@,NYM,W,3,2,68-57,3,21,3:46,N,24265
126,Tuesday Aug 22,2017,ARI,@,NYM,W,7,4,69-57,2,21,3:03,N,25220
127,Wednesday Aug 23,2017,ARI,@,NYM,L,2,4,69-58,2,21,3:15,N,31277
128,Thursday Aug 24,2017,ARI,@,NYM,W,3,2,70-58,2,21,3:45,D,25284
129,Friday Aug 25,2017,ARI,,SFG,W,4,3,71-58,2,21,2:54,N,31924
130,Saturday Aug 26,2017,ARI,,SFG,W,2,1,72-58,2,20,2:34,N,25709
131,Sunday Aug 27,2017,ARI,,SFG,W,11,0,73-58,2,19,3:03,D,23210
132,Tuesday Aug 29,2017,ARI,,LAD,W,7,6,74-58,2,18,3:08,N,25219
133,Wednesday Aug 30,2017,ARI,,LAD,W,6,4,75-58,2,17,3:05,N,23321
134,Thursday Aug 31,2017,ARI,,LAD,W,8,1,76-58,2,16,3:02,D,19882
135,Friday Sep 1,2017,ARI,@,COL,W,9,5,77-58,2,16,3:48,N,29628
136,Saturday Sep 2,2017,ARI,@,COL,W,6,2,78-58,2,14.5,3:38,N,39442
137,Sunday Sep 3,2017,ARI,@,COL,W,5,1,79-58,2,13.5,3:13,D,33838
138,Monday Sep 4,2017,ARI,@,LAD,W,13,0,80-58,2,12.5,3:00,N,47192
139,Tuesday Sep 5,2017,ARI,@,LAD,W,3,1,81-58,2,11.5,3:42,N,47039
140,Wednesday Sep 6,2017,ARI,@,LAD,W,3,1,82-58,2,10.5,3:18,N,48612
141,Friday Sep 8,2017,ARI,,SDP,L,6,10,82-59,2,10,3:36,N,27988
142,Saturday Sep 9,2017,ARI,,SDP,L,7,8,82-60,2,10,3:33,N,34156
143,Sunday Sep 10,2017,ARI,,SDP,W,3,2,83-60,2,9,2:58,D,23854
144,Monday Sep 11,2017,ARI,,COL,L,4,5,83-61,2,9,3:40,N,24178
145,Tuesday Sep 12,2017,ARI,,COL,L,2,4,83-62,2,10,2:54,N,27526
146,Wednesday Sep 13,2017,ARI,,COL,W,8,2,84-62,2,10,3:00,N,26714
147,Thursday Sep 14,2017,ARI,,COL,W,7,0,85-62,2,9.5,2:53,D,20317
148,Friday Sep 15,2017,ARI,@,SFG,W,3,2,86-62,2,9.5,2:26,N,39810
149,Saturday Sep 16,2017,ARI,@,SFG,W,2,0,87-62,2,9.5,2:32,N,37846
150,Sunday Sep 17,2017,ARI,@,SFG,L,2,7,87-63,2,9.5,2:55,D,38476
151,Monday Sep 18,2017,ARI,@,SDP,L,2,4,87-64,2,9.5,3:02,N,20199
152,Tuesday Sep 19,2017,ARI,@,SDP,L,2,6,87-65,2,9.5,2:45,N,20101
153,Wednesday Sep 20,2017,ARI,@,SDP,W,13,7,88-65,2,8.5,3:47,N,25797
154,Friday Sep 22,2017,ARI,,MIA,W,13,11,89-65,2,9,3:54,N,34588
155,Saturday Sep 23,2017,ARI,,MIA,L,6,12,89-66,2,9,3:51,N,39259
156,Sunday Sep 24,2017,ARI,,MIA,W-wo,3,2,90-66,2,9,3:10,D,31539
157,Monday Sep 25,2017,ARI,,SFG,L,2,9,90-67,2,10,3:09,N,22813
158,Tuesday Sep 26,2017,ARI,,SFG,W,11,4,91-67,2,10,3:23,N,27487
159,Wednesday Sep 27,2017,ARI,,SFG,W-wo,4,3,92-67,2,10,3:20,D,20048
160,Friday Sep 29,2017,ARI,@,KCR,L,1,2,92-68,2,10,2:59,N,23488
161,Saturday Sep 30,2017,ARI,@,KCR,L,3,4,92-69,2,11,2:44,N,32727
162,Sunday Oct 1,2017,ARI,@,KCR,W,14,2,93-69,2,11,3:31,D,32277
1,Thursday Mar 29,2018,ARI,,COL,W,8,2,Jan-00,1,Tied,3:36,N,48703
2,Friday Mar 30,2018,ARI,,COL,W,9,8,Feb-00,1,Tied,3:22,N,23937
3,Saturday Mar 31,2018,ARI,,COL,L,1,2,1-Feb,1,Tied,2:54,N,33346
4,Monday Apr 2,2018,ARI,,LAD,W-wo,8,7,1-Mar,1,up 1.0,5:46,N,21735
5,Tuesday Apr 3,2018,ARI,,LAD,W,6,1,1-Apr,1,up 2.0,2:48,N,27574
6,Wednesday Apr 4,2018,ARI,,LAD,W,3,0,1-May,1,up 2.0,2:25,D,25754
7,Thursday Apr 5,2018,ARI,@,STL,W,3,1,1-Jun,1,up 2.0,3:32,N,46512
8,Saturday Apr 7,2018,ARI,@,STL,L,3,5,2-Jun,1,up 1.5,2:58,D,41113
9,Sunday Apr 8,2018,ARI,@,STL,W,4,1,2-Jul,1,up 2.5,2:53,D,40468
10,Monday Apr 9,2018,ARI,@,SFG,W,2,1,2-Aug,1,up 3.5,2:33,N,36997
11,Tuesday Apr 10,2018,ARI,@,SFG,L-wo,4,5,3-Aug,1,up 2.5,3:24,N,37869
12,Wednesday Apr 11,2018,ARI,@,SFG,W,7,3,3-Sep,1,up 3.5,3:09,D,35041
13,Friday Apr 13,2018,ARI,@,LAD,W,8,7,3-Oct,1,up 3.0,3:30,N,43791
14,Saturday Apr 14,2018,ARI,@,LAD,W,9,1,3-Nov,1,up 4.0,3:10,N,44306
15,Sunday Apr 15,2018,ARI,@,LAD,L,2,7,4-Nov,1,up 3.0,3:09,D,47527
16,Tuesday Apr 17,2018,ARI,,SFG,W,1,0,4-Dec,1,up 2.5,2:05,N,19669
17,Wednesday Apr 18,2018,ARI,,SFG,L,3,4,5-Dec,1,up 2.5,3:44,N,16976
18,Thursday Apr 19,2018,ARI,,SFG,W,3,1,13-5,1,up 3.0,2:23,N,18736
19,Friday Apr 20,2018,ARI,,SDP,L,1,4,13-6,1,up 3.0,2:54,N,24902
20,Saturday Apr 21,2018,ARI,,SDP,W,6,2,14-6,1,up 3.0,2:55,N,38820
21,Sunday Apr 22,2018,ARI,,SDP,W,4,2,15-6,1,up 4.0,2:42,D,31061
22,Tuesday Apr 24,2018,ARI,@,PHI,W,8,4,16-6,1,up 4.5,3:49,N,18195
23,Wednesday Apr 25,2018,ARI,@,PHI,L,3,5,16-7,1,up 3.5,2:55,N,21349
24,Thursday Apr 26,2018,ARI,@,PHI,W,8,2,17-7,1,up 4.0,3:12,D,20335
25,Friday Apr 27,2018,ARI,@,WSN,W,5,4,18-7,1,up 4.0,3:02,N,26517
26,Saturday Apr 28,2018,ARI,@,WSN,W,4,3,19-7,1,up 5.0,3:16,D,32963
27,Sunday Apr 29,2018,ARI,@,WSN,L,1,3,19-8,1,up 5.0,2:49,D,30285
28,Monday Apr 30,2018,ARI,,LAD,W,8,5,20-8,1,up 5.5,3:27,N,17562
29,Tuesday May 1,2018,ARI,,LAD,W,4,3,21-8,1,up 6.0,3:12,N,18940
30,Wednesday May 2,2018,ARI,,LAD,L,1,2,21-9,1,up 5.0,3:12,N,19531
31,Thursday May 3,2018,ARI,,LAD,L,2,5,21-10,1,up 4.5,3:17,D,21407
32,Friday May 4,2018,ARI,,HOU,L,0,8,21-11,1,up 3.5,2:50,N,29463
33,Saturday May 5,2018,ARI,,HOU,W-wo,4,3,22-11,1,up 3.5,3:34,N,39154
34,Sunday May 6,2018,ARI,,HOU,W,3,1,23-11,1,up 3.5,2:55,D,35632
35,Tuesday May 8,2018,ARI,@,LAD,W,8,5,24-11,1,up 3.5,4:29,N,45894
36,Wednesday May 9,2018,ARI,@,LAD,L,3,6,24-12,1,up 3.5,3:48,N,45600
37,Thursday May 10,2018,ARI,,WSN,L,1,2,24-13,1,up 3.5,3:42,N,17397
38,Friday May 11,2018,ARI,,WSN,L,1,3,24-14,1,up 3.5,2:24,N,22901
39,Saturday May 12,2018,ARI,,WSN,L,1,2,24-15,1,up 2.5,3:17,D,29428
40,Sunday May 13,2018,ARI,,WSN,L,4,6,24-16,1,up 2.5,3:09,N,31906
41,Monday May 14,2018,ARI,,MIL,L,2,7,24-17,1,up 1.5,3:06,N,17390
42,Tuesday May 15,2018,ARI,,MIL,W,2,1,25-17,1,up 2.5,2:40,N,17914
43,Wednesday May 16,2018,ARI,,MIL,L,2,8,25-18,1,up 2.0,3:04,D,16762
44,Friday May 18,2018,ARI,@,NYM,L,1,3,25-19,1,up 0.5,2:36,N,31285
45,Saturday May 19,2018,ARI,@,NYM,L-wo,4,5,25-20,1,up 0.5,3:04,N,39515
46,Sunday May 20,2018,ARI,@,NYM,L,1,4,25-21,1,up 0.5,2:41,D,34894
47,Monday May 21,2018,ARI,@,MIL,L,2,4,25-22,2,0.5,2:31,N,27094
48,Tuesday May 22,2018,ARI,@,MIL,L,0,1,25-23,2,0.5,2:40,N,27065
49,Wednesday May 23,2018,ARI,@,MIL,L,2,9,25-24,2,0.5,3:04,D,29237
50,Friday May 25,2018,ARI,@,OAK,W,7,1,26-24,2,0.5,3:02,N,22691
51,Saturday May 26,2018,ARI,@,OAK,L,0,3,26-25,2,0.5,2:15,D,17580
52,Sunday May 27,2018,ARI,@,OAK,L,1,2,26-26,2,1.5,2:38,D,13947
53,Monday May 28,2018,ARI,,CIN,W,12,5,27-26,2,1.5,3:19,D,29924
54,Tuesday May 29,2018,ARI,,CIN,W,5,2,28-26,2,1.5,2:40,N,20046
55,Wednesday May 30,2018,ARI,,CIN,L,4,7,28-27,2,1.5,3:06,D,18340
56,Friday Jun 1,2018,ARI,,MIA,W,9,1,29-27,2,0.5,2:40,N,25866
57,Saturday Jun 2,2018,ARI,,MIA,W,6,2,30-27,1,up 0.5,3:01,N,34117
58,Sunday Jun 3,2018,ARI,,MIA,W,6,1,31-27,1,up 1.5,2:47,D,31727
59,Monday Jun 4,2018,ARI,@,SFG,L,3,10,31-28,1,up 1.0,3:11,N,36542
60,Tuesday Jun 5,2018,ARI,@,SFG,W,3,2,32-28,1,up 1.0,3:05,N,36925
61,Wednesday Jun 6,2018,ARI,@,SFG,L-wo,4,5,32-29,1,Tied,3:38,D,41042
62,Friday Jun 8,2018,ARI,@,COL,W,9,4,33-29,1,up 1.5,2:51,N,38917
63,Saturday Jun 9,2018,ARI,@,COL,W,12,7,34-29,1,up 2.5,3:34,N,43197
64,Sunday Jun 10,2018,ARI,@,COL,W,8,3,35-29,1,up 2.5,3:23,D,36433
65,Monday Jun 11,2018,ARI,,PIT,W,9,5,36-29,1,up 3.0,3:07,N,20927
66,Tuesday Jun 12,2018,ARI,,PIT,W,13,8,37-29,1,up 3.0,3:56,N,22488
67,Wednesday Jun 13,2018,ARI,,PIT,L,4,5,37-30,1,up 2.0,3:07,D,32803
68,Thursday Jun 14,2018,ARI,,NYM,W,6,3,38-30,1,up 2.5,2:38,N,23300
69,Friday Jun 15,2018,ARI,,NYM,W,7,3,39-30,1,up 2.5,3:20,N,32170
70,Saturday Jun 16,2018,ARI,,NYM,L,1,5,39-31,1,up 1.5,2:56,N,31824
71,Sunday Jun 17,2018,ARI,,NYM,L,3,5,39-32,1,up 1.5,3:27,D,47907
72,Monday Jun 18,2018,ARI,@,LAA,W,7,4,40-32,1,up 2.0,3:21,N,33809
73,Tuesday Jun 19,2018,ARI,@,LAA,L,4,5,40-33,1,up 1.5,3:11,N,33088
74,Thursday Jun 21,2018,ARI,@,PIT,W,9,3,41-33,1,up 2.5,3:11,N,20554
75,Friday Jun 22,2018,ARI,@,PIT,W,2,1,42-33,1,up 2.5,3:51,N,24843
76,Saturday Jun 23,2018,ARI,@,PIT,W,7,2,43-33,1,up 2.5,2:52,D,21121
77,Sunday Jun 24,2018,ARI,@,PIT,W,3,0,44-33,1,up 2.5,2:32,D,19207
78,Monday Jun 25,2018,ARI,@,MIA,L,5,9,44-34,1,up 1.5,3:14,N,6105
79,Tuesday Jun 26,2018,ARI,@,MIA,W,5,3,45-34,1,up 2.5,3:24,N,6159
80,Wednesday Jun 27,2018,ARI,@,MIA,W,2,1,46-34,1,up 2.5,2:52,N,6382
81,Thursday Jun 28,2018,ARI,@,MIA,W,4,0,47-34,1,up 3.5,3:06,D,12715
82,Friday Jun 29,2018,ARI,,SFG,L,1,2,47-35,1,up 3.5,2:49,N,30981
83,Saturday Jun 30,2018,ARI,,SFG,L,0,7,47-36,1,up 3.5,2:51,N,38117
84,Sunday Jul 1,2018,ARI,,SFG,L,6,9,47-37,1,up 2.5,3:45,D,29721
85,Monday Jul 2,2018,ARI,,STL,L,3,6,47-38,1,up 1.5,2:52,N,20334
86,Tuesday Jul 3,2018,ARI,,STL,W,4,2,48-38,1,up 1.5,2:51,N,25843
87,Wednesday Jul 4,2018,ARI,,STL,L,4,8,48-39,1,up 0.5,3:47,N,44072
88,Thursday Jul 5,2018,ARI,,SDP,L,3,6,48-40,1,Tied,3:15,N,17982
89,Friday Jul 6,2018,ARI,,SDP,W,3,1,49-40,1,up 1.0,2:52,N,25128
90,Saturday Jul 7,2018,ARI,,SDP,W,20,5,50-40,1,up 1.0,3:23,N,27091
91,Sunday Jul 8,2018,ARI,,SDP,L,3,4,50-41,1,up 1.0,5:31,D,24869
92,Tuesday Jul 10,2018,ARI,@,COL,W,5,3,51-41,1,up 1.5,3:40,N,43405
93,Wednesday Jul 11,2018,ARI,@,COL,L,2,19,51-42,1,up 0.5,3:05,N,33919
94,Thursday Jul 12,2018,ARI,@,COL,L,1,5,51-43,2,0.5,3:17,D,41410
95,Friday Jul 13,2018,ARI,@,ATL,W,2,1,52-43,2,0.5,3:05,N,42130
96,Saturday Jul 14,2018,ARI,@,ATL,W,3,0,53-43,1,up 0.5,2:53,D,40862
97,Sunday Jul 15,2018,ARI,@,ATL,L,1,5,53-44,2,0.5,2:42,D,27323
98,Friday Jul 20,2018,ARI,,COL,L,10,11,53-45,2,1.5,4:02,N,29546
99,Saturday Jul 21,2018,ARI,,COL,L,5,6,53-46,3,1.5,3:21,N,43340
100,Sunday Jul 22,2018,ARI,,COL,W,6,1,54-46,2,1.5,2:45,D,32985
101,Monday Jul 23,2018,ARI,@,CHC,W,7,1,55-46,2,1.5,2:55,N,40859
102,Tuesday Jul 24,2018,ARI,@,CHC,W,5,1,56-46,2,0.5,3:13,N,40869
103,Wednesday Jul 25,2018,ARI,@,CHC,L,1,2,56-47,2,0.5,2:39,D,35548
104,Thursday Jul 26,2018,ARI,@,CHC,L-wo,6,7,56-48,2,1.5,3:22,D,38979
105,Friday Jul 27,2018,ARI,@,SDP,W,6,2,57-48,2,1.5,2:37,N,34725
106,Saturday Jul 28,2018,ARI,@,SDP,W,9,4,58-48,2,1.5,3:15,N,37149
107,Sunday Jul 29,2018,ARI,@,SDP,W,5,4,59-48,2,0.5,3:18,D,32529
108,Monday Jul 30,2018,ARI,,TEX,L,5,9,59-49,2,0.5,3:33,N,20639
109,Tuesday Jul 31,2018,ARI,,TEX,W,6,0,60-49,1,up 0.5,2:45,N,21877
110,Thursday Aug 2,2018,ARI,,SFG,L,1,8,60-50,2,1,3:26,N,22980
111,Friday Aug 3,2018,ARI,,SFG,W,6,3,61-50,1,Tied,2:59,N,27581
112,Saturday Aug 4,2018,ARI,,SFG,W,9,3,62-50,1,up 1.0,2:59,N,38093
113,Sunday Aug 5,2018,ARI,,SFG,L,2,3,62-51,1,Tied,3:15,D,27884
114,Monday Aug 6,2018,ARI,,PHI,W-wo,3,2,63-51,1,up 0.5,4:38,N,21131
115,Tuesday Aug 7,2018,ARI,,PHI,L,2,5,63-52,2,0.5,3:08,N,22382
116,Wednesday Aug 8,2018,ARI,,PHI,W,6,0,64-52,1,up 0.5,2:58,D,23384
117,Friday Aug 10,2018,ARI,@,CIN,L,0,3,64-53,1,Tied,2:30,N,19089
118,Saturday Aug 11,2018,ARI,@,CIN,L,3,6,64-54,1,Tied,3:04,N,29348
119,Sunday Aug 12,2018,ARI,@,CIN,W,9,2,65-54,1,up 1.0,2:53,D,17909
120,Monday Aug 13,2018,ARI,@,TEX,L,3,5,65-55,1,up 1.0,2:51,N,18204
121,Tuesday Aug 14,2018,ARI,@,TEX,W,6,4,66-55,1,up 1.0,3:08,N,19353
122,Thursday Aug 16,2018,ARI,@,SDP,W,5,1,67-55,1,up 1.5,3:00,N,20617
123,Friday Aug 17,2018,ARI,@,SDP,W,9,4,68-55,1,up 1.5,3:46,N,20010
124,Saturday Aug 18,2018,ARI,@,SDP,L-wo,6,7,68-56,1,up 0.5,2:54,N,24440
125,Sunday Aug 19,2018,ARI,@,SDP,W,4,3,69-56,1,up 0.5,3:09,D,22346
126,Tuesday Aug 21,2018,ARI,,LAA,W-wo,5,4,70-56,1,up 1.5,2:54,N,30420
127,Wednesday Aug 22,2018,ARI,,LAA,W,5,1,71-56,1,up 1.5,3:05,N,23584
128,Friday Aug 24,2018,ARI,,SEA,L,3,6,71-57,1,up 1.0,2:47,N,43867
129,Saturday Aug 25,2018,ARI,,SEA,L,3,4,71-58,1,Tied,4:11,N,34968
130,Sunday Aug 26,2018,ARI,,SEA,W,5,2,72-58,1,up 1.0,2:48,D,37175
131,Monday Aug 27,2018,ARI,@,SFG,L,0,2,72-59,1,up 1.0,2:32,N,38808
132,Tuesday Aug 28,2018,ARI,@,SFG,L-wo,0,1,72-60,1,Tied,3:03,N,37276
133,Wednesday Aug 29,2018,ARI,@,SFG,W,3,1,73-60,1,up 0.5,2:45,N,35626
134,Thursday Aug 30,2018,ARI,@,LAD,W,3,1,74-60,1,up 1.5,3:14,N,45150
135,Friday Aug 31,2018,ARI,@,LAD,L,2,3,74-61,1,up 1.0,2:33,N,48965
136,Saturday Sep 1,2018,ARI,@,LAD,L,2,3,74-62,1,Tied,2:59,N,52394
137,Sunday Sep 2,2018,ARI,@,LAD,L-wo,2,3,74-63,3,1,3:35,D,48517
138,Monday Sep 3,2018,ARI,,SDP,L,2,6,74-64,3,1.5,3:19,N,22514
139,Tuesday Sep 4,2018,ARI,,SDP,W,6,0,75-64,3,1.5,2:47,N,18556
140,Thursday Sep 6,2018,ARI,,ATL,L,6,7,75-65,3,2.5,4:11,N,21903
141,Friday Sep 7,2018,ARI,,ATL,W,5,3,76-65,3,1.5,3:48,N,31308
142,Saturday Sep 8,2018,ARI,,ATL,L,4,5,76-66,3,2.5,4:07,N,40482
143,Sunday Sep 9,2018,ARI,,ATL,L,5,9,76-67,3,2.5,3:45,D,28339
144,Monday Sep 10,2018,ARI,@,COL,L,2,13,76-68,3,3.5,3:09,N,25114
145,Tuesday Sep 11,2018,ARI,@,COL,W,6,3,77-68,3,2.5,3:14,N,26510
146,Wednesday Sep 12,2018,ARI,@,COL,L-wo,4,5,77-69,3,3.5,3:07,N,31687
147,Thursday Sep 13,2018,ARI,@,COL,L,3,10,77-70,3,4.5,3:04,D,31783
148,Friday Sep 14,2018,ARI,@,HOU,W,4,2,78-70,3,3.5,3:36,N,36924
149,Saturday Sep 15,2018,ARI,@,HOU,L,4,10,78-71,3,4,3:17,N,38345
150,Sunday Sep 16,2018,ARI,@,HOU,L,4,5,78-72,3,4.5,3:09,D,37889
151,Monday Sep 17,2018,ARI,,CHC,L,1,5,78-73,3,5,2:46,N,27662
152,Tuesday Sep 18,2018,ARI,,CHC,L,1,9,78-74,3,6,3:10,N,26095
153,Wednesday Sep 19,2018,ARI,,CHC,W,9,0,79-74,3,6,2:20,N,25715
154,Friday Sep 21,2018,ARI,,COL,L,2,6,79-75,3,6,2:54,N,28833
155,Saturday Sep 22,2018,ARI,,COL,L,1,5,79-76,3,7,3:02,N,35094
156,Sunday Sep 23,2018,ARI,,COL,L,0,2,79-77,3,8,3:15,D,29191
157,Monday Sep 24,2018,ARI,,LAD,L,4,7,79-78,3,9,3:33,N,26067
158,Tuesday Sep 25,2018,ARI,,LAD,W-wo,4,3,80-78,3,8,3:23,N,25774
159,Wednesday Sep 26,2018,ARI,,LAD,W,7,2,81-78,3,7.5,3:14,N,31149
160,Friday Sep 28,2018,ARI,@,SDP,L-wo,2,3,81-79,3,9,5:02,N,28055
161,Saturday Sep 29,2018,ARI,@,SDP,W,5,4,82-79,3,8,2:49,N,28024
162,Sunday Sep 30,2018,ARI,@,SDP,L-wo,3,4,82-80,3,9,3:29,D,31243
1,Thursday Mar 28,2019,ARI,@,LAD,L,5,12,0-1,4,1,2:49,D,53086
